name,gee_path,date_format,scale,beginning_year,end_year
prism,OREGONSTATE/PRISM/AN81d,%Y%m%d,500,2001,2020
pml,CAS/IGSNRR/PML/V2,%Y-%m-%d,500,2003,2017
modis,MODIS/006/MOD16A2,%Y_%m_%d,250,2001,2020
modis,MODIS/006/MOD10A1,%Y_%m_%d,500,2001,2021
