,id,prism_ppt,prism_tmean,prism_tmin,prism_tmax,prism_tdmean,prism_vpdmin,prism_vpdmax,pml_GPP,pml_Ec,pml_Es,pml_Ei,pml_qc,modis_ET,modis_LE,modis_PET,modis_PLE,modis_ET_QC,modis_NDSI_Snow_Cover,modis_NDSI_Snow_Cover_Basic_QA,modis_NDSI_Snow_Cover_Algorithm_Flags_QA,modis_NDSI,modis_orbit_pnt,modis_granule_pnt,modis_NDSI_Snow_Cover_Class,modis_Snow_Albedo_Daily_Tile_Class,modis_Snow_Albedo_Daily_Tile,q_cfs,q_m3day,q_m,q_mm
0,2001-01-01,,,,,,,,,,,,,243.42439960790713,408.4960178075479,383.4506820780918,643.7662146708057,27.14919124643196,0.0,0.8992148130786358,3.701628969881636,-667.7437595218562,1.0,1.0,201.0,124.57951482479783,,,,,
1,2001-01-02,0.0,12.459699661737181,5.73969699921876,19.18028686390532,-0.8790230572415004,4.141483313922894,16.204530365909267,,,,,,,,,,,0.0,1.0,7.211648892534865,661.7738778858549,1.0,2.0,,125.0,,,,,
2,2001-01-03,0.0,13.575597152055712,6.832698465801241,20.31930283160362,-1.4759926731572648,5.925144158444566,17.753746693688687,,,,,,,,,,,,0.0,0.0,1505.2503222782145,1.0,1.0,250.0,150.0,,,,,
3,2001-01-04,0.0,11.426684998119333,5.690012801208928,17.163749178702,-1.123835427584964,4.375540775598282,13.327889380572554,,,,,,,,,,,14.925465838509316,0.0,0.23450134770889489,1640.0557248330015,0.0,0.0,243.52127659574467,143.52127659574475,9.624223602484474,3.0,7340.696686491078,0.0004378459008228551,0.43784590082285507
4,2001-01-05,0.00038019128118949887,11.969267634448862,4.611211867634963,19.32771474423527,-1.1101163726284782,3.076080328153032,16.600519343603825,,,,,,,,,,,0.0,0.0,5.200398453064572,-0.8487636235790545,1.0,1.0,201.0,124.25325208015937,,2.8,6851.316907391672,0.00040865617410133136,0.40865617410133137
5,2001-01-06,0.0,10.901469250476364,4.590600662894474,17.2136841697215,-0.4647777267287118,3.2796216334801227,13.309694967362809,,,,,,,,,,,0.0,1.0,4.630376186569788,-450.96519395288885,1.0,1.0,,125.0,,2.7,6606.627017841972,0.0003940613107405697,0.3940613107405697
6,2001-01-07,0.0,11.679285162433873,5.342232818281958,18.017595119353867,-0.03856894128629709,3.129815521144109,14.384647249153211,,,,,,,,,,,,0.0,0.0,1020.0137114731048,0.9784952537208484,1.956990507441697,250.0,150.0,,2.6,6361.937128292268,0.0003794664473798078,0.3794664473798078
7,2001-01-08,25.252283376339964,7.506892792468748,3.1729237313318306,11.841884881160336,-0.6667642965655242,0.22239769924195707,9.736842764492751,,,,,,,,,,,39.0,0.0,0.0,3002.9118715574823,1.0,2.0,250.0,150.0,23.0,6.8,16638.912489379778,0.0009924507085318048,0.9924507085318048
8,2001-01-09,24.335747415791552,3.202698277746325,-0.11106200314095176,6.517895117877753,3.000084306973995,0.00969546094184875,1.5612877831067051,,,,,,66.86649048444391,207.60510013213676,85.68062395963824,265.8046779812264,30.556246797921382,,0.5379702332122348,0.0,3651.7842493847415,1.0,1.0,250.0,150.0,,8.5,20798.640611724724,0.0012405633856647563,1.2405633856647562
9,2001-01-10,17.409040431696294,2.039188178768543,-0.5310570722970109,4.60999476135176,1.0993320590152478,0.04091276399697913,2.2262896262271523,,,,,,,,,,,68.23020527859238,0.15510371498886674,0.0,6218.178600726589,1.0,1.0,250.0,150.0,45.15102639296188,17.0,41597.28122344945,0.0024811267713295126,2.4811267713295124
10,2001-01-11,27.162841438321205,3.8531813377461206,2.2938391344829765,5.412984386642424,3.1254089860115877,0.012846900224483288,1.2916580980255343,,,,,,,,,,,,0.0,0.0,2497.0346302589933,1.0,2.0,250.0,150.0,,26.0,63619.37128292268,0.0037946644737980777,3.7946644737980777
11,2001-01-12,11.030820312794585,2.777747597172237,-0.1438829544502639,5.700397043412694,1.3590425806170134,0.024744309543080073,2.3296629959607924,,,,,,,,,,,0.0,0.07470994960740654,2.8646431501230514,13.80130083206378,1.0,2.0,201.0,122.6416266260401,,19.0,46491.079014443494,0.002773024038544749,2.7730240385447487
12,2001-01-13,0.006182957087035763,4.501413311789399,-1.006931224897693,10.00986865188406,2.169317400386431,0.012823777357594272,4.611623269303208,,,,,,,,,,,,0.0,0.0,1817.421246923708,0.0,0.0,250.0,150.0,,14.0,34256.58453695837,0.0020432808705066574,2.043280870506657
13,2001-01-14,0.952675752767581,2.8764605804858348,-0.5721948258975175,6.326912532436969,2.069028173689516,0.02152705065426358,1.236679052458793,,,,,,,,,,,3.1606703386851045,0.0,2.151177780382046,534.3306574475566,1.0,1.0,,125.0,13.72173913043478,11.0,26915.887850467287,0.001605434969683802,1.605434969683802
14,2001-01-15,0.0,2.231637949327613,-2.1394775913255484,6.603194628471327,-0.8271459249881359,0.11696444136414513,3.3872536290496353,,,,,,,,,,,0.0,1.0,1.5502168053439587,-581.8148365170513,1.0,2.0,201.0,122.04113441931324,,9.9,24224.29906542056,0.001444891472715422,1.4448914727154218
15,2001-01-16,0.0,2.90418470504763,-2.7852541453879134,8.595421299488871,-4.557903695555021,0.39179805478714413,6.673976365008363,,,,,,,,,,,0.0,0.8372202039142154,3.5124809562873565,1157.1841673502872,1.0,1.0,201.0,110.07488573772413,,8.8,21532.710280373834,0.001284347975747042,1.284347975747042
